"country","mes","cancelaciones_mensuales","personas_mensuales","reservas_mensuales","cancelaciones_acumuladas","personas_acumuladas","reservas_acumuladas","ratio_cancelaciones","region","country_name"
"LTU",2017-07-01,1,8,4,7,155,80,8.8,"Europe","Lithuania"
"LUX",2017-07-01,13,67,26,100,561,259,38.6,"Europe","Luxembourg"
"LVA",2017-07-01,1,5,2,8,108,54,14.8,"Europe","Latvia"
"MAR",2017-07-01,13,50,20,85,485,223,38.1,"Africa","Morocco"
"MDV",2017-07-01,1,3,1,9,26,12,75,"Asia","Maldives"
"MEX",2017-07-01,0,11,4,10,138,72,13.9,"Americas","Mexico"
"MOZ",2017-07-01,4,20,11,17,119,64,26.6,"Africa","Mozambique"
"NGA",2017-07-01,0,4,1,21,70,34,61.8,"Africa","Nigeria"
"NLD",2017-07-01,31,214,97,368,3993,2005,18.4,"Europe","Netherlands"
"NOR",2017-07-01,34,235,90,173,1267,582,29.7,"Europe","Norway"
"NZL",2017-07-01,0,4,2,6,140,73,8.2,"Asia","New Zealand"
"PHL",2017-07-01,1,5,2,16,55,25,64,"Asia","Philippines"
"POL",2017-07-01,15,94,37,208,1888,884,23.5,"Europe","Poland"
"QAT",2017-07-01,6,17,6,11,31,13,84.6,"Africa","Qatar"
"ROU",2017-07-01,13,106,44,122,974,466,26.2,"Europe","Romania"
"RUS",2017-07-01,21,100,44,214,1212,586,36.5,"Europe","Russia"
"SAU",2017-07-01,0,9,3,31,92,46,67.4,"Africa","Saudi Arabia"
"SEN",2017-07-01,1,4,1,8,23,11,72.7,"Africa","Senegal"
"SRB",2017-07-01,1,10,4,3,140,100,3,"Europe","Serbia"
"SVK",2017-07-01,0,5,2,24,129,64,37.5,"Europe","Slovakia"
"SWE",2017-07-01,28,172,75,218,1958,975,22.4,"Europe","Sweden"
"SYC",2017-07-01,1,2,1,1,3,2,50,"Africa","Seychelles"
"THA",2017-07-01,1,4,1,17,127,58,29.3,"Asia","Thailand"
"TJK",2017-07-01,0,2,1,8,18,9,88.9,"Europe","Tajikistan"
"TUN",2017-07-01,0,2,1,18,76,37,48.6,"Africa","Tunisia"
"TUR",2017-07-01,2,4,3,99,463,239,41.4,"Europe","Turkey"
"TWN",2017-07-01,3,31,17,14,100,51,27.5,"Asia","Taiwan"
"UKR",2017-07-01,1,6,3,20,133,67,29.9,"Europe","Ukraine"
"USA",2017-07-01,58,369,157,436,3890,1903,22.9,"Americas","United States"
"VEN",2017-07-01,0,2,1,12,54,26,46.2,"Americas","Venezuela"
"VNM",2017-07-01,0,2,1,2,14,7,28.6,"Asia","Vietnam"
"ZAF",2017-07-01,0,22,9,28,147,73,38.4,"Africa","South Africa"
"AGO",2017-08-01,6,16,7,205,641,355,57.7,"Africa","Angola"
"AND",2017-08-01,2,6,2,5,19,7,71.4,"Europe","Andorra"
"ARG",2017-08-01,1,14,6,53,459,213,24.9,"Americas","Argentina"
"AUS",2017-08-01,5,67,33,107,863,426,25.1,"Asia","Australia"
"AUT",2017-08-01,10,111,44,229,2510,1256,18.2,"Europe","Austria"
"AZE",2017-08-01,2,5,2,9,43,17,52.9,"Europe","Azerbaijan"
"BEL",2017-08-01,33,276,116,472,4892,2334,20.2,"Europe","Belgium"
"BGR",2017-08-01,0,7,4,12,146,75,16,"Europe","Bulgaria"
"BHR",2017-08-01,2,3,2,4,12,5,80,"Africa","Bahrain"
"BLR",2017-08-01,4,9,5,8,41,25,32,"Europe","Belarus"
"BRA",2017-08-01,29,158,75,829,4841,2210,37.5,"Americas","Brazil"
"CHE",2017-08-01,38,193,88,428,3637,1721,24.9,"Europe","Switzerland"
"CHL",2017-08-01,1,8,4,16,139,65,24.6,"Americas","Chile"
"CHN",2017-08-01,38,288,128,716,4653,2272,31.5,"Asia","China"
"CIV",2017-08-01,2,3,2,2,11,6,33.3,"Africa","Côte d’Ivoire"
"COL",2017-08-01,0,7,3,23,154,71,32.4,"Americas","Colombia"
"CYP",2017-08-01,0,6,3,11,81,50,22,"Europe","Cyprus"
"CZE",2017-08-01,0,10,4,37,325,170,21.8,"Europe","Czechia"
"DEU",2017-08-01,77,769,369,1218,14145,7246,16.8,"Europe","Germany"
"DNK",2017-08-01,9,65,28,109,935,434,25.1,"Europe","Denmark"
"DZA",2017-08-01,0,7,2,21,179,103,20.4,"Africa","Algeria"
